03494ad0 ManaRestore
57706a69 BurnPercent
97e52ce8 BurnDuration
8f954b18 HPThreshold
dc44b1d7 HealthRestore
510fdb6a BanishDuration
ec9a04d1 MaxArmySizeIncrease
4724fc58 AD
276ba2c8 MultiplierForDamage
ad16f688 OmniVamp
69fff1ab ManaPercentRestore
dc44b1d7 HealthRestore
48ea2af8 ChanceToProc
eac3d5c4 CriticalStrikeAmp
6688a0d5 DamageReflect
aa03e0b1 AttackSpeedPerStack
ce132611 APPercentAmp
6003afce ProcPercent
268f634e CritAmpPercent
5610b17a HPPercent
d05832ac HPToSet
a8ca7859 AttackSpeedPercent
b4a90a5d ProcChance
bc3d5e29 ADPercent
f768e185 ExtraTargetsHit
5eb5fde9 ADValue
fa127f0d APValue
1b812333 ProcRate
9b1e8f37 HexRange
337a0cca BouncesTooltip
9634ed1a ExtraMR
2bd7dcb7 DisableDuration
fb0b4533 HexSize
35bb0e0c ManaDrainProcChance
0ebb5365 ManaDrainBurn
1a14aa8a ManaDrainDrain
2426ea7e ChanceOnHitToDisarm
a56e0a21 ChanceOnHitToShrink
2275757b ChanceOnHitToSilence
9f2eb1e2 CritChanceAmpPercent
c425872e StasisDuration
d0088170 ASSlowPercentage
0cc88d45 ChanceToSpellSteal
3abb8549 CritChance
c4b5579c DodgeChance
e93233aa CleanseICD
ae49cc70 TraitMultiplier
1bb18b94 HPPerRound
0e4779e5 DodgeChancePercent
0c633edc MaxHPTrueDamage
98ac43ce CritChancePerStack
93d13af6 ExtraBounces
f1d43b01 ADPerStack
ad68ce80 StartingStacks
e7acd68a ArmorPercentReduction
cca74473 DamageThreshold
d04eb593 ZoneDuration
cb6b5298 PercentBonusDamage
471b1a16 TickRate
d0539890 ManaPerTick
a861afa0 CostIncrease
4c67d4fe DamageAmp
4e5f79b7 HealthPercentThreshold
d165d743 ImmunityDuration
360f62b5 SummonDurationBoost
04bbf4a5 ArmorPercentIncrease
